colour,skeins,skeins_round_up,stitches
154,6.59,7,7685
155,0.16,1,187
156,0.16,1,188
158,0.80,1,927
159,0.43,1,498
160,0.52,1,610
161,0.92,1,1071
164,0.23,1,272
165,0.44,1,515
166,0.79,1,918
169,0.67,1,783
208,0.16,1,188
209,0.08,1,97
210,0.03,1,40
221,0.35,1,404
225,0.13,1,153
300,6.38,7,7438
301,1.40,2,1631
307,0.47,1,553
309,0.13,1,151
310,35.85,36,41794
311,0.56,1,648
315,0.53,1,613
317,1.73,2,2015
319,0.86,1,998
320,0.25,1,294
321,0.13,1,155
326,0.14,1,159
327,0.72,1,839
333,0.28,1,323
334,0.19,1,224
349,0.17,1,195
350,0.08,1,97
355,0.34,1,398
369,0.15,1,170
372,0.30,1,353
400,8.58,9,10001
402,0.13,1,154
413,1.54,2,1797
422,0.32,1,374
433,0.71,1,831
434,0.70,1,816
435,0.80,1,933
445,0.20,1,231
469,0.35,1,413
470,0.29,1,336
471,0.15,1,180
498,1.54,2,1796
500,1.78,2,2071
501,0.58,1,671
503,0.18,1,213
505,0.29,1,337
517,0.69,1,803
520,0.59,1,683
524,0.31,1,360
550,2.39,3,2788
552,0.12,1,142
553,0.13,1,154
554,0.06,1,75
561,0.94,1,1095
562,0.26,1,299
564,0.08,1,93
581,0.57,1,666
597,0.20,1,230
601,0.06,1,68
606,0.85,1,991
640,0.38,1,441
644,0.46,1,534
666,0.61,1,712
677,0.40,1,471
701,0.23,1,272
702,0.16,1,184
703,0.16,1,184
704,0.13,1,153
720,7.56,8,8813
721,0.18,1,214
725,0.97,1,1130
726,0.66,1,766
729,0.35,1,408
730,1.50,2,1747
732,1.55,2,1804
733,0.44,1,511
738,0.24,1,279
739,0.31,1,363
740,10.26,11,11957
741,5.12,6,5964
742,3.42,4,3989
744,0.15,1,180
762,0.43,1,499
772,0.26,1,307
775,0.51,1,589
779,1.59,2,1859
780,1.73,2,2017
782,4.79,5,5586
791,0.65,1,752
792,0.37,1,436
793,0.21,1,243
794,0.14,1,166
796,0.55,1,638
798,0.34,1,393
799,0.31,1,360
801,0.47,1,550
803,1.65,2,1926
807,1.00,2,1168
809,0.10,1,122
813,0.50,1,580
814,11.24,12,13097
815,4.97,5,5797
817,10.83,11,12623
820,4.13,5,4816
823,7.97,8,9296
824,0.75,1,872
825,0.39,1,453
826,0.44,1,514
833,0.40,1,467
838,0.88,1,1025
890,1.63,2,1905
891,0.04,1,51
892,0.04,1,43
895,0.42,1,492
898,0.95,1,1105
900,1.44,2,1679
902,5.10,6,5946
905,0.63,1,737
906,0.11,1,127
907,0.15,1,173
911,0.23,1,265
912,0.21,1,243
913,0.13,1,153
915,0.48,1,565
917,0.27,1,309
918,0.75,1,873
919,6.58,7,7675
920,2.79,3,3254
921,0.47,1,553
922,0.19,1,222
924,0.77,1,898
930,1.29,2,1499
931,0.60,1,700
932,0.47,1,544
934,2.19,3,2558
935,0.44,1,510
936,1.77,2,2062
938,5.94,6,6926
939,22.45,23,26167
943,0.81,1,940
946,5.20,6,6058
954,0.10,1,113
958,1.15,2,1344
959,1.01,2,1179
961,0.11,1,126
962,0.04,1,43
964,0.96,1,1124
966,0.18,1,214
972,4.70,5,5481
975,0.77,1,892
976,1.01,2,1175
977,0.31,1,360
986,0.53,1,622
988,0.18,1,213
989,0.12,1,145
992,0.22,1,259
995,1.07,2,1243
996,1.87,2,2175
3012,0.35,1,405
3021,0.53,1,614
3031,0.78,1,906
3041,0.79,1,924
3042,0.65,1,757
3072,0.78,1,909
3078,0.35,1,405
3326,0.01,1,13
3346,0.32,1,370
3348,0.25,1,289
3350,0.13,1,149
3354,0.02,1,28
3363,0.35,1,409
3364,0.20,1,228
3371,14.48,15,16877
3687,0.15,1,176
3688,0.09,1,104
3689,0.04,1,45
3705,0.01,1,11
3721,0.28,1,330
3722,0.27,1,309
3727,0.12,1,136
3731,0.09,1,103
3743,0.72,1,843
3747,0.34,1,399
3750,2.87,3,3351
3752,0.38,1,439
3756,0.93,1,1085
3760,0.76,1,882
3761,2.47,3,2881
3765,1.63,2,1899
3766,2.26,3,2637
3771,0.07,1,78
3776,0.28,1,322
3777,0.18,1,209
3787,0.87,1,1014
3799,2.23,3,2605
3801,0.04,1,43
3807,0.37,1,430
3808,1.37,2,1598
3810,0.37,1,429
3811,0.12,1,143
3814,1.09,2,1272
3815,0.43,1,499
3816,0.24,1,284
3818,1.02,2,1190
3819,0.35,1,407
3820,1.27,2,1475
3821,0.65,1,752
3822,0.38,1,441
3827,0.22,1,262
3830,0.31,1,362
3832,0.08,1,96
3834,1.15,2,1339
3835,0.21,1,242
3836,0.18,1,209
3837,0.10,1,119
3838,0.20,1,236
3842,2.65,3,3086
3844,0.53,1,621
3846,0.32,1,376
3847,1.86,2,2163
3848,1.12,2,1310
3850,0.29,1,343
3851,0.45,1,526
3852,5.13,6,5976
3855,0.21,1,247
3857,0.81,1,941
3858,0.57,1,669
3859,0.34,1,397
3860,0.71,1,825
3861,0.57,1,662
3862,0.98,1,1145
3863,0.50,1,583
3864,0.28,1,325
Ecru,0.57,1,659
